LARGEST CITIES AMONG TOP 250 COUNTRIES,,,,,,,,,,,,
Rank,City,Country,Landarea (In Sqkm),Density,,,,,,,,
1,New York Metro,USA,"8,683","2,050",,,,,,,,
2,Yokyo / yokohana,Japan,"6,993","4,750",,,,,,,,
3,chicapo,USA,"5,498","1,500",,,,,,,,
4,aflanta,USA,"5,083",700,,,,,,,,
5,philadelphia,USA,"4,661","1,100",,,,,,,,
6,boston ,USA,"4,497",900,,,,,,,,
7,los anpletes,USA,"4,320","2,750",,,,,,,,
8,Dallas/fort worth,USA,"3,644","1,150",,,,,,,,
9,houston,USA,"3,355","1,150",,,,,,,,
10,detroit,USA,"3,267","1,200",,,,,,,,
11,washington,USA,"2,996","1,300",,,,,,,,
12,miami,USA,"2,891","1,700",,,,,,,,
13,nagoya,Japan,"2,875","3,150",,,,,,,,
14,paris,France,"2,723","3,550",,,,,,,,
15,essen/dusseldorf,Germany,"2,642","2,800",,,,,,,,
16,osaka/kobe/kyoto,Japan,"2,664","6,400",,,,,,,,
17,seattle,USA,"2,470","1,100",,,,,,,,
18,johannesburg/east round,South Africa,"2,396","2,500",,,,,,,,
19,minneapolis/st.paul,USA,"2,316","1,050",,,,,,,,
20,san juan,Puerto Rico,"2,309",950,,,,,,,,
21,bvenos aires,Argentina,"2,266","4,950",,,,,,,,
22,pittsburgh,USA,"2,208",800,,,,,,,,
23,moscow,Russia,"2,150","4,900",,,,,,,,
24,st.lousi,USA,"2,147",950,,,,,,,,
25,melbourne,Australia,"2,080","1,500",,,,,,,,
26,tampa//st.petersburg,USA,"2,078","1,000",,,,,,,,
27,mexico city,Mexico,"2,072","8,400",,,,,,,,
28,phoenix/mesa,USA,"2,069","1,400",,,,,,,,
29,san diego,USA,"2,026","1,300",,,,,,,,
30,sao paulo,Brazil,1968,"9,000",,,,,,,,
31,baltimore,USA,1768,"1,150",,,,,,,,
32,cincinnati,USA,1740,850,,,,,,,,
33,montreal,Canada,1740,"1,850",,,,,,,,
34,sydney,Australia,1687,"2,100",,,,,,,,
35,cleveland,USA,1675,"1,050",,,,,,,,
36,toronto,Canada,1655,"2,650",,,,,,,,
37,london,UK,1623,"5,100",,,,,,,,
38,kuala lumpur,Malaysia,"1,606","2,750",,,,,,,,
39,brisbane,Australia,1603,950,,,,,,,,
40,rio de janeiro,Brazil,1580,"6,850",,,,,,,,
41,milan,Italy,1554,"2,750",,,,,,,,
42,kanas city,USA,1514,900,,,,,,,,
43,indiana polis,USA,1432,850,,,,,,,,
44,manila,Philippines,1399,"10,550",,,,,,,,
45,san francisco//oakland,USA,1365,"2,350",,,,,,,,
46,virginia beach,USA,1364,"1,000",,,,,,,,
47,jakarta,Indonesia,1360,"10,500",,,,,,,,
48,providence,USA,1304,900,,,,,,,,
49,cairo,Egypt,1295,"9,400",,,,,,,,
50,delhi,India,1295,"11,050",,,,,,,,
51,denver,USA,1292,"1,550",,,,,,,,
52,milwaukee,USA,1261,"1,050",,,,,,,,
53,portland,USA,1228,"1,300",,,,,,,,
54,hartford,USA,1216,700,,,,,,,,
55,bridgeport//stamford,USA,1205,750,,,,,,,,
56,marseille,France,1204,"1,100",,,,,,,,
57,orlando,USA,1174,"1,000",,,,,,,,
58,istanbul,Turkey,1166,"7,700",,,,,,,,
59,riverside/san bernardino,USA,1136,"1,350",,,,,,,,
60,richmond,USA,1131,700,,,,,,,,
61,charlotte,USA,1126,650,,,,,,,,
62,vancouver,Canada,1120,"1,650",,,,,,,,
63,nashville,USA,1116,650,,,,,,,,
64,riyadh,Saudi Arabia,1101,"3,650",,,,,,,,
65,jacksonville,USA,1063,850,,,,,,,,
66,bordeaux,France,1057,700,,,,,,,,
67,san antonio,USA,1056,"1,250",,,,,,,,
68,seoul /incheon,South Korea,1049,"16,700",,,,,,,,
69,memphis,USA,1036,950,,,,,,,,
70,columbus,USA,1030,"1,100",,,,,,,,
71,birmingham,USA,1016,650,,,,,,,,
72,louisville,USA,1013,850,,,,,,,,
73,bangkok,Thailand,1010,"6,450",,,,,,,,
74,berlin,Germany,984,"3,750",,,,,,,,
75,frankfurt,Germany,984,"2,300",,,,,,,,
76,perth,Australia,964,"1,200",,,,,,,,
77,sa cramento,USA,956,"1,450",,,,,,,,
78,lyon,France,954,"1,400",,,,,,,,
79,buffalo,USA,950,"1,050",,,,,,,,
80,madrid,Spain,945,"5,200",,,,,,,,
81,lisbon,Portugal,881,"2,550",,,,,,,,
82,knoxville,USA,879,500,,,,,,,,
83,belo horizonte,Brazil,868,"4,600",,,,,,,,
84,edmonton,Canada,850,900,,,,,,,,
85,rome,Italy,842,"2,950",,,,,,,,
86,dayton,USA,838,850,,,,,,,,
87,oklahoma city,USA,835,900,,,,,,,,
88,durban,South Africa,829,"3,500",,,,,,,,
89,hamburg,Germany,829,"2,300",,,,,,,,
90,raleigh,USA,828,650,,,,,,,,
91,austin,USA,824,"1,100",,,,,,,,
92,cologne/bonn,germany,816,"2,400",,,,,,,,
93,copenhagen,denmark,816,"1,850",,,,,,,,
94,mc allen,USA,813,650,,,,,,,,
95,tou louse,france,808,950,,,,,,,,
96,barcelona ,spain,803,"4,850",,,,,,,,
97,springfield,USA,800,700,,,,,,,,
98,akron,USA,797,700,,,,,,,,
99,abu dhabi,UAE,777,700,,,,,,,,
100,jeddah,saudi arabia,777,"3,550",,,,,,,,
101,rochester,USA,764,900,,,,,,,,
102,tucson,USA,755,950,,,,,,,,
103,chattanooga,USA,751,450,,,,,,,,
104,allen town/bethlehem,USA,750,750,,,,,,,,
105,beijing,china,748,"11,500",,,,,,,,
106,shanghai,china,746,"13,400",,,,,,,,
107,barnstable town,USA,741,350,,,,,,,,
108,las vegas,USA,741,"1,750",,,,,,,,
109,new hawen,USA,739,700,,,,,,,,
110,lagos,nigeria,738,"18,150",,,,,,,,
111,albany,USA,736,750,,,,,,,,
112,adelaide,australia,729,"1,350",,,,,,,,
113,baton rouge,USA,727,650,,,,,,,,
114,nice,france,721,"1,250",,,,,,,,
115,toulon,france,713,750,,,,,,,,
116,brussels,belgium,712,"2,200",,,,,,,,
117,dubai,UAE,712,"2,650",,,,,,,,
118,harare,zimbabwe,712,"2,450",,,,,,,,
119,budapest,hungry,702,"2,550",,,,,,,,
120,calgary,canada,702,"1,250",,,,,,,,
121,sarasota//bradenton,USA,700,800,,,,,,,,
122,columbia,USA,697,600,,,,,,,,
123,cape town,south africa,686,"3,950",,,,,,,,
124,pough keepsie,USA,686,500,,,,,,,,
125,tehran,iran,686,"10,550",,,,,,,,
126,athens,Greece,684,"5,400",,,,,,,,
127,tulsa,USA,677,800,,,,,,,,
128,san jose,USA,674,"2,300",,,,,,,,
129,arabia,Saudi Arabia,673,"2,250",,,,,,,,
130,pretoria,South Africa,673,"2,750",,,,,,,,
131,quebec,canada,669,950,,,,,,,,
132,grand rapids,USA,667,800,,,,,,,,
133,winston/salem,USA,651,450,,,,,,,,
134,beirut,lebanon,648,"2,800",,,,,,,,
135,curitiba,Brazil,648,"3,850",,,,,,,,
136,santiago,Chile,648,"8,400",,,,,,,,
137,worecester,USA,648,650,,,,,,,,
138,lahore,Pakistan,622,"8,200",,,,,,,,
139,st petersburg,Russia,622,"8,550",,,,,,,,
140,aguadilla,Puerto Rico,620,500,,,,,,,,
141,augusta,USA,600,550,,,,,,,,
142,birmingham,UK,600,"3,800",,,,,,,,
143,flint,USA,599,600,,,,,,,,
144,charleston,USA,598,700,,,,,,,,
145,salt lake city,USA,598,"1,500",,,,,,,,
146,antwerp,Belgium,596,"1,550",,,,,,,,
147,baghdad,Iraq,596,"9,250",,,,,,,,
148,guadalajara,Mexico,596,"5,900",,,,,,,,
149,lima,Peru,596,"11,750",,,,,,,,
150,youngstown,USA,591,700,,,,,,,,
151,greenville,USA,587,500,,,,,,,,
152,omaha,USA,586,"1,050",,,,,,,,
153,ankara,Turkey,583,"5,300",,,,,,,,
154,brasile,Brazil,583,"2,800",,,,,,,,
155,fortaleza,Brazil,583,"4,550",,,,,,,,
156,hyderabad,India,583,"9,100",,,,,,,,
157,khartoum,Sudan,583,"6,850",,,,,,,,
158,naples,Italy,583,"4,100",,,,,,,,
159,porto alegre,Brazil,583,"4,800",,,,,,,,
160,albuquerque,USA,580,"1,050",,,,,,,,
161,palm bay,USA,569,700,,,,,,,,
162,el paso,USA,568,"1,200",,,,,,,,
163,pensacola,USA,568,550,,,,,,,,
164,manchester,UK,558,"4,000",,,,,,,,
165,hickory,USA,546,350,,,,,,,,
166,mobile,USA,546,600,,,,,,,,
167,baku/sumqaxit,Azerbaijan,544,"3,850",,,,,,,,
168,fukuoka,Japan,544,"3,950",,,,,,,,
169,katowice,Poland,544,"4,050",,,,,,,,
170,kuwait,Kuwait,544,"2,950",,,,,,,,
171,harrisburg,USA,540,650,,,,,,,,
172,asheville,USA,536,400,,,,,,,,
173,bangalore,India,534,"10,100",,,,,,,,
174,little rock,USA,532,700,,,,,,,,
175,auck land,New Zealand,531,"2,000",,,,,,,,
176,kolkata,India,531,"23,900",,,,,,,,
177,rotterdam,Netherlands,531,"2,500",,,,,,,,
178,tashkent,Uzbekistan,531,"4,150",,,,,,,,
179,toledo,USA,524,950,,,,,,,,
180,bogota,Colombia,518,"13,500",,,,,,,,
181,hochi minh city,Vietnam,518,"9,450",,,,,,,,
182,karachi,Pakistan,518,"8,900",,,,,,,,
183,munichi,Germany,518,"3,100",,,,,,,,
184,phnompenh,Cambodia,518,"2,900",,,,,,,,
185,stockholm,Sweden,518,"2,700",,,,,,,,
186,lancaster,USA,517,650,,,,,,,,
187,new orleans,USA,512,"1,950",,,,,,,,
188,colorado springs,USA,511,900,,,,,,,,
189,taichung,Taiwan,510,"3,900",,,,,,,,
190,avignon,France,508,500,,,,,,,,
191,valenciennes,France,507,700,,,,,,,,
192,nizhni novgorod,Russia,505,"2,950",,,,,,,,
193,turin,Italy,500,"2,700",,,,,,,,
194,cape coral,USA,497,650,,,,,,,,
195,campinas,Brazil,492,"3,550",,,,,,,,
196,ottawa/hull,Canada,490,"1,700",,,,,,,,
197,douai/lens,France,489,"1,050",,,,,,,,
198,mumbai,India,484,"29,650",,,,,,,,
199,goiania,Brazil,479,"3,100",,,,,,,,
200,helsinki,Finland,479,"2,100",,,,,,,,
201,monterey,Mexico,479,"6,700",,,,,,,,
202,quito,Ecuador,479,"3,150",,,,,,,,
203,singapore,Singapore,479,"8,350",,,,,,,,
204,vereeniging,South Africa,479,"1,250",,,,,,,,
205,nantes,France,476,"1,150",,,,,,,,
206,lille,France,474,"2,200",,,,,,,,
207,kinshasa,Congo,469,"10,650",,,,,,,,
208,ogden,USA,466,900,,,,,,,,
209,shenzhen,China,466,"17,150",,,,,,,,
210,warsaw,Poland,465,"4,300",,,,,,,,
211,syracuse,USA,465,850,,,,,,,,
212,wichita,USA,457,900,,,,,,,,
213,concord,USA,453,"1,200",,,,,,,,
214,accra,Ghana,453,"3,300",,,,,,,,
215,shenyang,China,453,"9,250",,,,,,,,
216,tel aviv,Israel,453,"5,050",,,,,,,,
217,tianjin,China,453,"10,500",,,,,,,,
218,vienna,Austria,453,"3,400",,,,,,,,
219,donetsk,Ukraine,451,"3,100",,,,,,,,
220,pau,France,450,400,,,,,,,,
221,winnipeg,Canada,446,"1,400",,,,,,,,
222,port st wcie,USA,438,600,,,,,,,,
223,fayetteville,USA,433,650,,,,,,,,
224,lumumbashi,Congo,427,"2,800",,,,,,,,
225,port elizabeth,South Africa,427,"2,100",,,,,,,,
226,tours,France,421,700,,,,,,,,
227,jackson,USA,417,700,,,,,,,,
228,chennai,India,414,"14,350",,,,,,,,
229,sapporo,Japan,414,"5,000",,,,,,,,
230,stuttgart,Germany,411,"3,000",,,,,,,,
231,scranton,USA,411,950,,,,,,,,
232,huntsuille,USA,407,500,,,,,,,,
233,durham,USA,406,700,,,,,,,,
234,south bend,USA,404,700,,,,,,,,
235,aachen,Germany,401,"1,450",,,,,,,,
236,shreveport,USA,401,700,,,,,,,,
237,honolulu,USA,399,"1,800",,,,,,,,
238,bethune,France,390,650,,,,,,,,
239,bonita springs /naples,USA,389,550,,,,,,,,
240,dalian,China,389,"7,100",,,,,,,,
241,porto ,Portugal,389,"2,650",,,,,,,,
242,st.cathariness,Canada,389,750,,,,,,,,
243,gold coast,Australia,383,"1,100",,,,,,,,
244,recife,Brazil,376,"8,050",,,,,,,,
245,taipei,Taiwan,376,"15,200",,,,,,,,
246,canton,USA,372,700,,,,,,,,
247,spokane,USA,371,900,,,,,,,,
248,leeds/bradford,UK,370,"4,050",,,,,,,,
249,Glasgow,UK,368,"3,250",,,,,,,,
250,Dublin,Ireland,365,"2,950",,,,,,,,
